Primary Type,Year,Arrest Count,Total Count,Arrest Rate
NARCOTICS,2015,23818,23826,99.9664232351213
NARCOTICS,2016,11408,11414,99.94743297704574
OBSCENITY,2001,19,19,100.0
OBSCENITY,2002,24,26,92.3076923076923
OBSCENITY,2003,15,16,93.75
OBSCENITY,2004,12,13,92.3076923076923
OBSCENITY,2005,17,19,89.47368421052632
OBSCENITY,2006,14,17,82.3529411764706
OBSCENITY,2007,9,11,81.81818181818181
OBSCENITY,2008,13,13,100.0
OBSCENITY,2009,16,21,76.19047619047619
OBSCENITY,2010,27,33,81.81818181818181
OBSCENITY,2011,31,40,77.5
OBSCENITY,2012,23,26,88.46153846153847
OBSCENITY,2013,19,24,79.16666666666667
OBSCENITY,2014,28,37,75.67567567567568
OBSCENITY,2015,35,45,77.77777777777777
OBSCENITY,2016,40,49,81.63265306122449
OTHER NARCOTIC VIOLATION,2001,6,6,100.0
OTHER NARCOTIC VIOLATION,2002,5,5,100.0
OTHER NARCOTIC VIOLATION,2003,2,2,100.0
OTHER NARCOTIC VIOLATION,2004,9,9,100.0
OTHER NARCOTIC VIOLATION,2005,6,9,66.66666666666667
OTHER NARCOTIC VIOLATION,2006,7,9,77.77777777777777
OTHER NARCOTIC VIOLATION,2007,4,12,33.333333333333336
OTHER NARCOTIC VIOLATION,2008,11,12,91.66666666666667
OTHER NARCOTIC VIOLATION,2009,5,7,71.42857142857143
OTHER NARCOTIC VIOLATION,2010,2,6,33.333333333333336
OTHER NARCOTIC VIOLATION,2011,3,5,60.0
OTHER NARCOTIC VIOLATION,2012,4,6,66.66666666666667
OTHER NARCOTIC VIOLATION,2013,4,5,80.0
OTHER NARCOTIC VIOLATION,2014,8,10,80.0
OTHER NARCOTIC VIOLATION,2015,2,5,40.0
OTHER NARCOTIC VIOLATION,2016,3,3,100.0
PROSTITUTION,2001,6023,6026,99.95021573182875
PROSTITUTION,2002,6408,6408,100.0
PROSTITUTION,2003,6214,6214,100.0
PROSTITUTION,2004,7474,7476,99.97324772605671
PROSTITUTION,2005,6116,6124,99.86936642717178
PROSTITUTION,2006,6983,7034,99.27495024168326
PROSTITUTION,2007,6001,6087,98.5871529489075
PROSTITUTION,2008,5083,5141,98.87181482201906
PROSTITUTION,2009,3925,3940,99.61928934010152
PROSTITUTION,2010,2480,2485,99.79879275653923
PROSTITUTION,2011,2419,2424,99.79372937293729
PROSTITUTION,2012,2188,2203,99.31911030413073
PROSTITUTION,2013,1648,1652,99.75786924939467
PROSTITUTION,2014,1612,1625,99.2
PROSTITUTION,2015,1320,1322,99.84871406959152
PROSTITUTION,2016,787,787,100.0
PUBLIC INDECENCY,2001,9,9,100.0
PUBLIC INDECENCY,2002,8,8,100.0
PUBLIC INDECENCY,2003,6,6,100.0
PUBLIC INDECENCY,2004,9,9,100.0
PUBLIC INDECENCY,2005,4,4,100.0
PUBLIC INDECENCY,2006,4,4,100.0
PUBLIC INDECENCY,2007,5,5,100.0
PUBLIC INDECENCY,2008,3,4,75.0
PUBLIC INDECENCY,2009,10,10,100.0
PUBLIC INDECENCY,2010,7,7,100.0
PUBLIC INDECENCY,2011,13,13,100.0
PUBLIC INDECENCY,2012,17,17,100.0
PUBLIC INDECENCY,2013,10,10,100.0
PUBLIC INDECENCY,2014,10,10,100.0
PUBLIC INDECENCY,2015,14,14,100.0
PUBLIC INDECENCY,2016,10,10,100.0
PUBLIC PEACE VIOLATION,2001,923,2750,33.56363636363636
PUBLIC PEACE VIOLATION,2002,929,2457,37.81033781033781
PUBLIC PEACE VIOLATION,2003,1049,2430,43.16872427983539
PUBLIC PEACE VIOLATION,2004,1307,2495,52.38476953907816
PUBLIC PEACE VIOLATION,2005,1583,2730,57.985347985347985
PUBLIC PEACE VIOLATION,2006,1990,3068,64.86310299869622
PUBLIC PEACE VIOLATION,2007,2269,3315,68.44645550527903
PUBLIC PEACE VIOLATION,2008,1776,3013,58.94457351476933
PUBLIC PEACE VIOLATION,2009,2289,3147,72.73593898951383
PUBLIC PEACE VIOLATION,2010,2525,3538,71.368004522329
PUBLIC PEACE VIOLATION,2011,2399,3095,77.51211631663975
PUBLIC PEACE VIOLATION,2012,2250,3007,74.82540738277353
PUBLIC PEACE VIOLATION,2013,2330,3135,74.32216905901116
PUBLIC PEACE VIOLATION,2014,2348,2903,80.88184636582845
PUBLIC PEACE VIOLATION,2015,1880,2421,77.65386204047914
PUBLIC PEACE VIOLATION,2016,1046,1505,69.5016611295681
WEAPONS VIOLATION,2001,3537,4274,82.75620028076743
WEAPONS VIOLATION,2002,3538,4281,82.64424199953282
WEAPONS VIOLATION,2003,3447,4211,81.85704108287818
WEAPONS VIOLATION,2004,3405,4297,79.24133116127531
WEAPONS VIOLATION,2005,3291,4106,80.15099853872381
WEAPONS VIOLATION,2006,3000,3821,78.51347814708191
WEAPONS VIOLATION,2007,2884,3554,81.1480022509848
WEAPONS VIOLATION,2008,2923,3877,75.39334537013154
WEAPONS VIOLATION,2009,3473,4158,83.52573352573353
WEAPONS VIOLATION,2010,2911,3704,78.59071274298056
WEAPONS VIOLATION,2011,3145,3880,81.05670103092784
WEAPONS VIOLATION,2012,3263,3904,83.58094262295081
WEAPONS VIOLATION,2013,2662,3246,82.00862600123229
WEAPONS VIOLATION,2014,2578,3114,82.7874116891458
WEAPONS VIOLATION,2015,2666,3362,79.29803688280785
WEAPONS VIOLATION,2016,2199,3182,69.10747957259585
