user_id,account_id,bronze_badge,silver_badge,gold_badge,user_type,display_name,link,reputation,tags,is_answered,view_count,answer_count,score,question_id,question_link,title,creation_date,down_vote_count
1005409,987187,22,11,2,registered,Muppet,http://stackoverflow.com/users/1005409/muppet,1087,"['python', 'performance', 'for-loop', 'pandas']",True,125704,7,122,7837722,http://stackoverflow.com/questions/7837722/what-is-the-most-efficient-way-to-loop-through-dataframes-with-pandas,What is the most efficient way to loop through dataframes with pandas?,1319121974,0
867549,464193,25,15,5,registered,TravisVOX,http://stackoverflow.com/users/867549/travisvox,1246,"['python', 'pandas']",True,151088,3,121,18172851,http://stackoverflow.com/questions/18172851/deleting-dataframe-row-in-pandas-based-on-column-value,Deleting DataFrame row in Pandas based on column value,1376230497,0
345660,139823,153,83,15,registered,Zach,http://stackoverflow.com/users/345660/zach,11006,"['python', 'r', 'join', 'data.table', 'pandas']",True,13794,3,118,8991709,http://stackoverflow.com/questions/8991709/why-are-pandas-merges-in-python-faster-than-data-table-merges-in-r,Why are pandas merges in python faster than data.table merges in R?,1327427993,1
1505259,1630617,32,23,6,registered,marillion,http://stackoverflow.com/users/1505259/marillion,1421,"['python', 'numpy', 'pandas', 'vectorization']",True,59152,6,117,19798153,http://stackoverflow.com/questions/19798153/difference-between-map-applymap-and-apply-methods-in-pandas,"Difference between map, applymap and apply methods in Pandas",1383682814,0
1413778,1511883,9,4,2,registered,peoplesparkresident,http://stackoverflow.com/users/1413778/peoplesparkresident,525,"['python', 'pandas']",True,138766,1,110,10729210,http://stackoverflow.com/questions/10729210/iterating-row-by-row-through-a-pandas-dataframe,iterating row by row through a pandas dataframe,1337815278,0
1733061,1921701,10,7,2,registered,George Thompson,http://stackoverflow.com/users/1733061/george-thompson,677,"['python', 'pandas']",True,93876,4,101,13295735,http://stackoverflow.com/questions/13295735/how-can-i-replace-all-the-nan-values-with-zeros-in-a-column-of-a-pandas-datafra,How can I replace all the NaN values with Zero&#39;s in a column of a pandas dataframe,1352400639,1
1240268,515061,255,218,19,registered,Andy Hayden,http://stackoverflow.com/users/1240268/andy-hayden,89921,"['python', 'datetime', 'numpy', 'pandas']",True,106893,8,100,13703720,http://stackoverflow.com/questions/13703720/converting-between-datetime-timestamp-and-datetime64,"Converting between datetime, Timestamp and datetime64",1354626509,0
468604,214559,18,13,1,registered,saveenr,http://stackoverflow.com/users/468604/saveenr,1481,"['python', 'pandas']",True,73904,5,99,10373660,http://stackoverflow.com/questions/10373660/converting-a-pandas-groupby-object-to-dataframe,Converting a Pandas GroupBy object to DataFrame,1335715835,0
1560238,1699828,9,7,1,registered,beets,http://stackoverflow.com/users/1560238/beets,636,"['python', 'pandas', 'options', 'display', 'column-width']",True,57346,8,98,11707586,http://stackoverflow.com/questions/11707586/python-pandas-how-to-widen-output-display-to-see-more-columns,"Python pandas, how to widen output display to see more columns?",1343547891,0
1170342,1199352,5,5,1,registered,euforia,http://stackoverflow.com/users/1170342/euforia,476,"['python', 'pandas']",True,69470,6,85,11350770,http://stackoverflow.com/questions/11350770/pandas-dataframe-select-by-partial-string,pandas + dataframe - select by partial string,1341514654,0
1090629,1097312,15,8,1,registered,msakya,http://stackoverflow.com/users/1090629/msakya,756,"['python', 'pandas']",True,51663,2,83,20461165,http://stackoverflow.com/questions/20461165/how-to-convert-pandas-index-in-a-dataframe-to-a-column,How to convert pandas index in a dataframe to a column?,1386549256,0
