user_id,user_type,display_name,link,reputation,tags,is_answered,view_count,answer_count,score,question_id,question_link,title,creation_date
213216,registered,user7289,http://stackoverflow.com/users/213216/user7289,3422,"['python', 'csv', 'pandas', 'dataframe']",True,147802,2,124,16923281,http://stackoverflow.com/questions/16923281/pandas-writing-dataframe-to-csv-file,Pandas writing dataframe to CSV file,1370364416
1005409,registered,Muppet,http://stackoverflow.com/users/1005409/muppet,1082,"['python', 'performance', 'for-loop', 'pandas']",True,125494,7,122,7837722,http://stackoverflow.com/questions/7837722/what-is-the-most-efficient-way-to-loop-through-dataframes-with-pandas,What is the most efficient way to loop through dataframes with pandas?,1319121974
867549,registered,TravisVOX,http://stackoverflow.com/users/867549/travisvox,1246,"['python', 'pandas']",True,150698,3,121,18172851,http://stackoverflow.com/questions/18172851/deleting-dataframe-row-in-pandas-based-on-column-value,Deleting DataFrame row in Pandas based on column value,1376230497
345660,registered,Zach,http://stackoverflow.com/users/345660/zach,11051,"['python', 'r', 'join', 'data.table', 'pandas']",True,13783,3,118,8991709,http://stackoverflow.com/questions/8991709/why-are-pandas-merges-in-python-faster-than-data-table-merges-in-r,Why are pandas merges in python faster than data.table merges in R?,1327427993
1505259,registered,marillion,http://stackoverflow.com/users/1505259/marillion,1416,"['python', 'numpy', 'pandas', 'vectorization']",True,59022,6,117,19798153,http://stackoverflow.com/questions/19798153/difference-between-map-applymap-and-apply-methods-in-pandas,"Difference between map, applymap and apply methods in Pandas",1383682814
1413778,registered,peoplesparkresident,http://stackoverflow.com/users/1413778/peoplesparkresident,525,"['python', 'pandas']",True,138602,1,110,10729210,http://stackoverflow.com/questions/10729210/iterating-row-by-row-through-a-pandas-dataframe,iterating row by row through a pandas dataframe,1337815278
1733061,registered,George Thompson,http://stackoverflow.com/users/1733061/george-thompson,677,"['python', 'pandas']",True,93679,4,101,13295735,http://stackoverflow.com/questions/13295735/how-can-i-replace-all-the-nan-values-with-zeros-in-a-column-of-a-pandas-datafra,How can I replace all the NaN values with Zero&#39;s in a column of a pandas dataframe,1352400639
1240268,registered,Andy Hayden,http://stackoverflow.com/users/1240268/andy-hayden,89816,"['python', 'datetime', 'numpy', 'pandas']",True,106743,8,100,13703720,http://stackoverflow.com/questions/13703720/converting-between-datetime-timestamp-and-datetime64,"Converting between datetime, Timestamp and datetime64",1354626509
1560238,registered,beets,http://stackoverflow.com/users/1560238/beets,636,"['python', 'pandas', 'options', 'display', 'column-width']",True,57268,8,98,11707586,http://stackoverflow.com/questions/11707586/python-pandas-how-to-widen-output-display-to-see-more-columns,"Python pandas, how to widen output display to see more columns?",1343547891
468604,registered,saveenr,http://stackoverflow.com/users/468604/saveenr,1476,"['python', 'pandas']",True,73595,5,98,10373660,http://stackoverflow.com/questions/10373660/converting-a-pandas-groupby-object-to-dataframe,Converting a Pandas GroupBy object to DataFrame,1335715835
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936,"['python', 'parsing', 'pandas', 'dataframe']",True,70262,3,96,20625582,http://stackoverflow.com/questions/20625582/how-to-deal-with-settingwithcopywarning-in-pandas,How to deal with SettingWithCopyWarning in Pandas?,1387252082
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936,"['python', 'pandas']",True,99418,3,94,14661701,http://stackoverflow.com/questions/14661701/how-to-drop-a-list-of-rows-from-pandas-dataframe,How to drop a list of rows from Pandas dataframe?,1359806626
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936,"['python', 'pandas']",True,95710,7,88,13331698,http://stackoverflow.com/questions/13331698/how-to-apply-a-function-to-two-columns-of-pandas-dataframe,How to apply a function to two columns of Pandas dataframe,1352641733
1170342,registered,euforia,http://stackoverflow.com/users/1170342/euforia,476,"['python', 'pandas']",True,69314,6,85,11350770,http://stackoverflow.com/questions/11350770/pandas-dataframe-select-by-partial-string,pandas + dataframe - select by partial string,1341514654
1090629,registered,msakya,http://stackoverflow.com/users/1090629/msakya,756,"['python', 'pandas']",True,51504,2,83,20461165,http://stackoverflow.com/questions/20461165/how-to-convert-pandas-index-in-a-dataframe-to-a-column,How to convert pandas index in a dataframe to a column?,1386549256
